,id,baidu1,baidu2,baidu3,baidu4
0,11,1,1,1,1
1,11,1,1,1,1
2,11,1,1,1,1
3,12,1,1,1,1
4,12,1,1,1,1
5,12,1,1,1,1
6,13,1,1,1,1
7,13,1,1,1,1
8,13,1,1,1,1
9,20,1,1,1,1
10,20,1,1,1,1
11,20,1,1,1,1
12,21,1,1,1,1
13,21,1,1,1,1
14,21,1,1,1,1
15,22,1,1,1,1
16,22,1,1,1,1
17,22,1,1,1,1
18,23,1,1,1,1
19,23,1,1,1,1
20,23,1,1,1,1
21,24,1,1,1,1
22,24,1,1,1,1
23,24,1,1,1,1
24,25,1,1,1,1
25,25,1,1,1,1
26,25,1,1,1,1
27,26,1,1,1,1
28,26,1,1,1,1
29,26,1,1,1,1
30,27,1,1,1,1
31,27,1,1,1,1
32,27,1,1,1,1
33,28,1,1,1,1
34,28,1,1,1,1
35,28,1,1,1,1
36,29,1,1,1,1
37,29,1,1,1,1
38,29,1,1,1,1
39,31,1,1,1,1
40,31,1,1,1,1
41,0,1,1,1,1
42,32,1,1,1,1
43,32,1,1,1,1
44,32,1,1,1,1
45,33,1,1,1,1
46,33,1,1,1,1
47,33,1,1,1,1
48,34,1,1,1,1
49,34,1,1,1,1
50,34,1,1,1,1
51,35,1,1,1,1
52,35,1,1,1,1
53,35,1,1,1,1
54,36,1,1,1,1
55,36,1,1,1,1
56,36,1,1,1,1
57,41,1,1,1,1
58,41,1,1,1,1
59,41,1,1,1,1
60,42,1,1,1,1
61,42,1,1,1,1
62,42,1,1,1,1
63,43,1,1,1,1
64,43,1,1,1,1
65,43,1,1,1,1
66,44,1,1,1,1
67,44,1,1,1,1
68,44,1,1,1,1
69,45,1,1,1,1
70,0,1,1,1,1
71,0,1,1,1,1
72,46,1,1,1,1
73,46,1,1,1,1
74,46,1,1,1,1
75,51,1,1,1,1
76,51,1,1,1,1
77,51,1,1,1,1
78,52,1,1,1,1
79,52,1,1,1,1
80,52,1,1,1,1
81,53,1,1,1,1
82,53,1,1,1,1
83,53,1,1,1,1
84,54,1,1,1,1
85,54,1,1,1,1
86,0,1,1,1,1
87,61,1,1,1,1
88,61,1,1,1,1
89,61,1,1,1,1
90,62,1,1,1,1
91,62,1,1,1,1
92,62,1,1,1,1
93,63,1,1,1,1
94,63,1,1,1,1
95,63,1,1,1,1
96,64,1,1,1,1
97,64,1,1,1,1
98,64,1,1,1,1
99,65,1,1,1,1
100,65,1,1,1,1
101,65,1,1,1,1
102,66,1,1,1,1
103,66,1,1,1,1
104,66,1,1,1,1
105,67,1,1,1,1
106,67,1,1,1,1
107,67,1,1,1,1
108,68,1,1,1,1
109,68,1,1,1,1
110,68,1,1,1,1
111,0,1,1,1,1
112,0,1,1,1,1
113,71,1,1,1,1
114,72,1,1,1,1
115,72,1,1,1,1
116,72,1,1,1,1
117,73,1,1,1,1
118,73,1,1,1,1
119,73,1,1,1,1
120,741,1,1,1,1
121,741,1,1,1,1
122,741,1,1,1,1
123,742,1,1,1,1
124,742,1,1,1,1
125,0,1,0,0,0
126,743,1,1,1,1
127,743,1,1,1,1
128,743,1,1,1,1
129,751,1,1,1,1
130,0,1,0,0,0
131,751,1,1,1,1
132,752,1,1,1,1
133,752,1,1,1,1
134,752,1,1,1,1
135,76,1,1,1,1
136,76,1,1,1,1
137,76,1,1,1,1
138,771,1,1,1,1
139,771,1,1,1,1
140,771,1,1,1,1
141,772,1,1,1,1
142,0,1,0,0,0
143,772,1,1,1,1
144,773,1,1,1,1
145,773,1,1,1,1
146,773,1,1,1,1
147,781,1,1,1,1
148,781,1,1,1,1
149,781,1,1,1,1
150,782,1,1,1,1
151,782,1,1,1,1
152,782,1,1,1,1
153,701,1,1,1,1
154,701,1,1,1,1
155,701,1,1,1,1
156,702,1,1,1,1
157,702,1,1,1,1
158,702,1,1,1,1
