11,切换为桌面模式
11,切换为桌面模式
11,切换为桌面模式
12,琴华为虚拟现实模式
12,切换为虚拟现实模式
12,切换为虚拟现实模式
13,切换为遨游模式
13,切换为遨游模式
13,切换伟遨游模式
20,切换主结构为线风格
20,切换主结构为线风格
20,切换主结构为线风格
21,切换主结构为点风格
21,切换主结构为点风格
21,主结构为点风格
22,切换主结构为主链风格
22,切换主结构为主链风格
22,切换主结构为主链风格
23,切换主结构为球风格
23,切换主结构为球风格
23,切换主结构为球风格
24,切换主结构为棍风格
24,切换主结构为棍风格
24,切换主结构为棍风格
25,切换主结构为球棍风格
25,切换主结构为球棍风格
25,切换主结构为球棍风格
26,切换主结构为钢丝风格
26,切换主结构为钢丝风格
26,切换主结构为钢丝风格
27,切换主结构为二级结构风格
27,切换主结构为二级结构风格
27,切换主结构为二级结构风格
28,隐藏主结构
28,隐藏主结构
28,隐藏主结构
29,显示主结构
29,显示主结构
29,显示主
31,切换配体结构为线风格
31,切换配体结构为线风格
0,切换配体结构为
32,切换配体结构为球风格
32,切换配体结构为球风格
32,切换配体结构为球风格
33,切换配体结构为棍风格
33,切换配体结构为棍风格
33,切换配体结构为棍风格
34,切换配体结构为球棍风格
34,切换配体结构为球棍风格
34,切换配体结构为球棍风格
35,隐藏配体
35,隐藏配体
35,隐藏配体
36,显示配体
36,显示配体
36,显示配
41,显示水分子
41,显示水分
41,显示水分子
42,隐藏水分子
42,隐藏水分子
42,隐藏水分
43,显示氢键
43,显示氢键
43,显示氢
44,隐藏氢
44,隐藏氢键
44,隐藏氢
45,显示突变
0,显示图片
0,寝室图片
46,隐藏突变
46,隐藏突变
46,隐藏突变
51,表面透明
51,表面透明
51,表面透明
52,表面网格
52,表面网格
52,表面网格
53,隐藏表面
53,隐藏表面
53,隐藏表面
54,显示表面
54,显示表面
0,是表面
61,按照元素着色
61,按照元素着色
61,按照元素着色
62,按照氨基酸着色
62,按照氨基酸着色
62,按照氨基酸
63,按照二级结构着色
63,按照二级结构着色
63,按照二级结构着色
64,按照链着色
64,按照链着色
64,按照链着色
65,按照b因子着色
65,按照b因子着色
65,按照b因子着色
66,按照谱着色
66,按照谱着色
66,按照谱着色
67,按照疏水性着色
67,按照疏水性着色
67,按照疏水性着色
68,按照保守性着色
68,按照保守性着色
68,按照保守性着色
0,切换为
0,切换为
71,切换为拖拽
72,切换为标签
72,切换为标签
72,切换为标签
73,旋转
73,旋转
73,旋转
741,横轴旋转
741,横轴旋转
741,横轴旋转
742,纵轴旋转
742,纵轴旋转
0,郑州旋转
743,竖轴旋转
743,竖轴旋转
743,竖轴旋转
751,顺时针旋转
0,创世珍旋转
751,顺时针旋转
752,逆时针旋转
752,逆时针旋转
752,逆时针旋转
76,移动
76,移动
76,移动
771,横轴移动
771,横轴移动
771,横轴移动
772,纵轴移动
0,郑州移动
772,纵轴移动
773,竖轴移动
773,竖轴移动
773,竖轴移动
781,正向移动
781,正向移动
781,正向移动
782,反向移动
782,反向移动
782,反向移动
701,停止旋转
701,停止旋转
701,停止旋转
702,停止移动
702,停止移动
702,停止移动
